Name,Address,Phone,Website,Rating,Pricing,Description,Tags,Images
 Earls Kitchen + Bar - Bankers Hall,"315 8 Ave SW, Calgary, AB T2P 4K1",(403) 265-3275,https://www.opentable.ca/r/earls-kitchen-and-bar-bankers-hall-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.0,0.75,Have always had great service at 8th Ave Earls. Food is always amazing.,"American,Calgary","['https://s1.qwant.com/thumbr/474x474/1/e/240d650fecab02c8b6a6e3e13e0cb2099b7fb323fca708b5e441b0a9bfb735/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.VngPcuLRrNT-huUmwVGO1gHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/5/4/6ecf8f660bbbee938bda14f205a946d107570d8005481d370860f57a4bc716/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.0qcwE60WWD9Dv5pn-L_uKgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/7/c/7b838e5e5d83c5396c6490212d7ad8650859eed0d5ec106b08f231593f7625/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.3mN8kjVD-nijQx3_U8z8ZQHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Hy's Steakhouse - Calgary,"8 Avenue at, 3 St SW, Calgary, AB T2P 4K8",(403) 663-3363,https://www.opentable.ca/r/hys-steakhouse-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.8,1.0,Great meal as always. Prefect service and fantastic wine selection.,"Steakhouse,Calgary","['https://s2.qwant.com/thumbr/474x474/f/3/61caa310467df6c215b04151159a5658087651e64a24f028b37ef0be32b014/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.9s8IFmYCT60KqLeiU98DUAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/d/6/0746eed589245c4d106501e1e863286a07f5316e0b6b0b3b1697c0f69982f8/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.KlCv2a1k2dbpfQXPS7xVKAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x316/f/e/20bf7505f9ad4d899361eeb2052672606f62b326cb4ec3cb32170d47d315be/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.9pqAdc7HKDcV6OBb0nuowwHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']"
 The Metropolitan,"318 8 Ave SW #150, Calgary, AB T2P 2Y9",(403) 263-5432,https://www.opentable.ca/r/the-metropolitan-grill-td-square-8th-ave-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,2.5,0.75,Food was delicious. Made a reservation on the patio but they donât hold a table for us there so we had to eat inside which was disappointing. We were also told we would have to be out by 1 for a private event. It would have been preferable to be contacted prior informing guests with reservations of this.,"Contemporary,Canadian,Calgary","['https://s1.qwant.com/thumbr/474x315/3/b/48f48053e613be394dbcc2a1793b8c23b172ea0cc678921b13d1b23b151d81/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.LkMR4K_--jsoFRR7WzJRIAHaE7%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x353/6/1/a1b08bca363eadc5efaa3d46724b1b94427561736ae4669d0a3887cf3c28ba/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.EhSZriDPtZkOCqck5YoEqgHaFh%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/0/8/154a34d643bd601625e44c15680ce7c541d7a414d0c384864f52a722582d5e/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.rR0JQ4VEJVoTgXDOp_u5cQHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 The Keg Steakhouse + Bar - Calgary 4th Ave,"320 4 Ave SW, Calgary, AB T2P 2S6",(403) 699-9843,https://www.opentable.ca/the-keg-steakhouse-and-bar-calgary-4th-ave?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.3,0.5,Jasmin was an outstanding server! Everything was served timely and efficiently. Live lobster did not have a fully packed tail of meat. Otherwise a wonderful meal and experience!!,"Steakhouse,Downtown","['https://s2.qwant.com/thumbr/474x355/c/f/833af756404925802fb1759ebd4d580da20f7dfa57f00ef6231a3f2a7b72d4/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qazGxpzeMPNW-7fSon8VbwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/f/5/6766d9a30e7156942438b9befd1f4badca75e012dc7085cf1c87d33ccccef1/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Ee1dmijUVtiTKXDFa6UBhgHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/0/5/7dcefcb1311e9fb9861f30e5c078a3c5feb81f444587aad406c0c854513bb2/th.jpg?u=https%3A%2F%2Ftse3.explicit.bing.net%2Fth%3Fid%3DOIP.dWv1iSEznT85NVDB8vQz3AEgDY%26pid%3DApi&q=0&b=1&p=0&a=0']"
 The Guild,"200 8 Ave SW, Calgary, AB T2P 1B5",(403) 770-2313,https://www.opentable.ca/r/the-guild-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.0,0.75,Excellent Meal!!!!,"Steak,Calgary","['https://s1.qwant.com/thumbr/474x303/a/4/b38d24b1f6a43e2b3595f7035bcd5c7ac3e221290312564daa02997c4da435/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.7EBNL0zJKCCdvAlVTRxduAHaEv%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/8/3/f88c957b9c50ad40c0019b2fbf588a088f057562eacf20f954ae3d64cdf8cf/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.kUE7fek23vyBwcsa1hC0JwHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/1/d/e4f481e6c152c061f60ced16e7211067ddaa3c412da0c25a0aaa08cd5db73b/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.rVEI_RFpwFy-pMpyN1ulGgHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Saltlik - Calgary,"101 8 Ave SW SW, Calgary, AB T2P 1B4",(403) 537-1160,https://www.opentable.ca/r/saltlik-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.5,0.75,"We had a quick dinner at Saltlik and enjoyed it immensely.  We were able to sit outside and people watch at the same time we had some delicious food.

First, the beet hummus with fresh made tortilla chips was amazing, and unlike anything I've ever had before.  And for dinner we split a baby kale and radicchio salad,  topped with steak.  We had a late lunch so were looking for something light, and this filled the bill perfectly.

The server we had was truly a gem, I wish I could recall her name.  Overall, it was a very nice light dinner on a gorgeous Calgary evening.","Regional,American,Northwest,Downtown","['https://s2.qwant.com/thumbr/474x316/d/b/acb476420bb89efef17d66a51661f0f41f288da25793b81cc96859119c9f55/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.oxhgqo0fK6gl4n8RvznAuQHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/1/f/1c76ab62de171632498f44a3cbc68b9d7819451d27f6320d892e46c792c652/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.X8HaXsl03DtBCu4GnuZW0AHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/7/6/028a3c50b1ec3c95e835d26191f91172f0657a179f83deaf71054b793c5846/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.aSK4YLfkanFE3VnCKFKhKwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Vintage Chophouse & Tavern,"320 11 Ave SW, Calgary, AB T2R 0C5",(403) 262-7262,https://www.opentable.ca/vintage-chophouse-and-tavern?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.6,0.75,Ashleigh is the best!!!,"Steakhouse,Calgary","['https://s1.qwant.com/thumbr/474x316/8/3/6350d45e1f5e6d0f3038d67aa7e740410f17e41629c0367bfeec3089cf18c2/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.8n6Y5JJ6ZlLKVBhC9sedqAHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/c/2/b470a92db66cf39418d6779a22315f71d4537202f6b1f7ec0f736b94bc04ac/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.1vlnrU1xGQ9tZhYAiW8_JAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/8/e/b2b09e2c9681789e3488b382fab761793b2c6510c75fc360e3733c46dcc7ef/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.UeL7IdhA97VxmMnrfGOi8wHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Sukiyaki House,"207 9 Ave SW #130, Calgary, AB T2P 1K3",(403) 263-3003,https://www.opentable.ca/sukiyaki-house?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.2,0.5,"Great sushi, good service. Our server was knowledgeable when we had questions about certain menu items.","Japanese,Downtown","['https://s2.qwant.com/thumbr/474x474/7/9/6540f059e9d005056c1ea0d03db660e14e1f1c3b9da20aea734e3ac269f4d3/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.-Cj87X1UlOtrvcCiXCSQowHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/4/a/c2a04195c2b4243ee10d3d4afe212a48a6a158afe8f4989722ee53005f3d4e/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.JBp84hnv5EWtnpK92rs0sgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/0/6/9d7d5dc1368c9b3d59a14d7e243914887c556fc6312cab3e0f63396ab00992/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.GDVsRqhVfYQh8aq0_NyLvgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 CHARCUT,"CHARCUT restaurant - Calgary, AB | OpenTable",(403) 984-2180,https://www.opentable.ca/charcut?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.0,0.5,Amazing food and service and very good price,"Contemporary,Canadian,Downtown","['https://s2.qwant.com/thumbr/474x316/d/0/206703eab8efa8f8510046ee4f507e9c21a418517c1080a3905b85fe86cde5/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.C5xGEDsO2yKmoZL27ulZugEsDI%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x711/2/5/b73287779d113d81610fc480e16fdc9e0571fef63055b9f57695b8aa27a623/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.jAPxe7oQgP1CUQb9upwXPAHaLH%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/b/2/5c519494b1f726529e28c26d4cc92497da4bb6aac668f7e57db17360323473/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.qfMu1hyrsZQpJYImQ81OhgHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 The Wednesday Room,"118 8 Ave SW #100, Calgary, AB T2P 1B3",(403) 452-5080,https://www.opentable.ca/r/the-wednesday-room-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.0,0.5,Delicious food and drinks . Fun patio. Service was great,"Canadian,Downtown","['https://s2.qwant.com/thumbr/474x474/6/1/6beacc23d70bb6267360589414069a6ca232d64cdec1c62a676174b30ec0d4/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.InyY6wuT-APo6rrg1jg6CQHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/d/9/37ad407298cc16a57d988b3b835bb0e60350ce31734468e345e8407711faa6/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.200HKglmeE3DTawbA6yttQHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/b/d/78f934e93db4e82a2de2bf15e38ba8149fd273694ed1c753ef56d436cc94c3/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9IW91myow61eqXylZnNlRAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
