Name,Address,Phone,Website,Rating,Pricing,Description,Tags,Images,Latitude,Longitude
 The Keg Steakhouse + Bar - Calgary 4th Ave,"320 4 Ave SW, Calgary, AB T2P 2S6",(403) 699-9843,https://www.opentable.ca/the-keg-steakhouse-and-bar-calgary-4th-ave?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.3,0.5,Jasmin was an outstanding server! Everything was served timely and efficiently. Live lobster did not have a fully packed tail of meat. Otherwise a wonderful meal and experience!!,"Steakhouse,Downtown","['https://s2.qwant.com/thumbr/474x355/c/f/833af756404925802fb1759ebd4d580da20f7dfa57f00ef6231a3f2a7b72d4/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qazGxpzeMPNW-7fSon8VbwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/f/5/6766d9a30e7156942438b9befd1f4badca75e012dc7085cf1c87d33ccccef1/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Ee1dmijUVtiTKXDFa6UBhgHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/0/5/7dcefcb1311e9fb9861f30e5c078a3c5feb81f444587aad406c0c854513bb2/th.jpg?u=https%3A%2F%2Ftse3.explicit.bing.net%2Fth%3Fid%3DOIP.dWv1iSEznT85NVDB8vQz3AEgDY%26pid%3DApi&q=0&b=1&p=0&a=0']",51.05018365,-114.0693031
 The Guild,"200 8 Ave SW, Calgary, AB T2P 1B5",(403) 770-2313,https://www.opentable.ca/r/the-guild-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4,0.75,Excellent Meal!!!!,"Steak,Calgary","['https://s1.qwant.com/thumbr/474x303/a/4/b38d24b1f6a43e2b3595f7035bcd5c7ac3e221290312564daa02997c4da435/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.7EBNL0zJKCCdvAlVTRxduAHaEv%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/8/3/f88c957b9c50ad40c0019b2fbf588a088f057562eacf20f954ae3d64cdf8cf/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.kUE7fek23vyBwcsa1hC0JwHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/1/d/e4f481e6c152c061f60ced16e7211067ddaa3c412da0c25a0aaa08cd5db73b/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.rVEI_RFpwFy-pMpyN1ulGgHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0457888,-114.0664094
 Vintage Chophouse & Tavern,"320 11 Ave SW, Calgary, AB T2R 0C5",(403) 262-7262,https://www.opentable.ca/vintage-chophouse-and-tavern?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.6,0.75,Ashleigh is the best!!!,"Steakhouse,Calgary","['https://s1.qwant.com/thumbr/474x316/8/3/6350d45e1f5e6d0f3038d67aa7e740410f17e41629c0367bfeec3089cf18c2/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.8n6Y5JJ6ZlLKVBhC9sedqAHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/c/2/b470a92db66cf39418d6779a22315f71d4537202f6b1f7ec0f736b94bc04ac/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.1vlnrU1xGQ9tZhYAiW8_JAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/8/e/b2b09e2c9681789e3488b382fab761793b2c6510c75fc360e3733c46dcc7ef/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.UeL7IdhA97VxmMnrfGOi8wHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0427572,-114.0765459
 The Wednesday Room,"118 8 Ave SW #100, Calgary, AB T2P 1B3",(403) 452-5080,https://www.opentable.ca/r/the-wednesday-room-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4,0.5,Delicious food and drinks . Fun patio. Service was great,"Canadian,Downtown","['https://s2.qwant.com/thumbr/474x474/6/1/6beacc23d70bb6267360589414069a6ca232d64cdec1c62a676174b30ec0d4/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.InyY6wuT-APo6rrg1jg6CQHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/d/9/37ad407298cc16a57d988b3b835bb0e60350ce31734468e345e8407711faa6/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.200HKglmeE3DTawbA6yttQHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/b/d/78f934e93db4e82a2de2bf15e38ba8149fd273694ed1c753ef56d436cc94c3/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9IW91myow61eqXylZnNlRAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0457034,-114.064102
 Pampa Brazilian Steakhouse Calgary Downtown,"521 10 Ave SW, Calgary, AB T2R 0A8",(587) 354-3441,https://www.opentable.ca/pampa-brazilian-steakhouse-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.8,0.75,Always a good experience.  Good place for a team meal,"Brazilian,Steakhouse,Downtown","['https://s1.qwant.com/thumbr/474x355/0/4/740ad40a2abc787b7c3be5dd5bd2de5ae768f383b8523114913603ea6736f4/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.yEIEVipQGt8amHuU3JQeYAHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/c/1/77318307bb5de85716ab2af40f198c5bfbcf6f36de6e21f7816c9e2ec45fc3/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.eYpJsfWB3lN2oCbEhVzmhAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x168/0/0/a0094a74ede9f39fc38e643c181af6fc720ad17e3696b7b82f58261508c912/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.AZ0Cn00IsyPObSwNXYlvtgHaCo%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0436086,-114.0733747
 Klein / Harris,"110 8 Ave SW, Calgary, AB T2P 1B3",(403) 262-8100,https://www.opentable.ca/r/klein-harris-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.6,0.75,"Food was fantastic! Smaller restaurant, patio outside, finding parking was a bit of a task.","Canadian,Calgary","['https://s1.qwant.com/thumbr/474x331/9/d/71e9271c990fc178e40c07a5582cf37b5aeee1dd7f6ce19f8f4e19bd2c5a0a/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.UUrmqwvDx0_BjdzBv2OhPgHaFL%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/a/7/3309bd5893189302395f96ac31051059c722a6d25aa987393cb83af1b05aaf/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.mnnE6mP-cq8IXeOFypuNaQHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x266/7/b/12e648ef18feef40267c0cbce8d1c4bfd38de45f233138d903f57228426e64/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.megOmD2NYP2mQxzmhwuYhwEsCo%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0456735,-114.063738
 The Palomino Smokehouse,"109 7 Ave SW, Calgary, AB T2P 3E6",(403) 532-1911,https://www.opentable.ca/r/the-palomino-smokehouse-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.1,0.5,The Palomino is always the best. From the greeting to the good bye when you leave. Everything was outstanding. The appetizers were cooked to perfection. My client had the special he almost ate the plate. I had the chili and it was above and beyond anything I have ever had in the chili category!! Thank you Palomino I will be back again soon.,"Barbecue,Calgary","['https://s2.qwant.com/thumbr/474x355/6/4/fa038eddb81cd0d8e415a9744537618ba3c40daff0be6e47d951a03621c679/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.JP5B0TmHRTqVWM8g0zXFqAHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/a/5/85947a9e0133040b1c6924a89142e13733048641796984a0088c769e805fc6/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.MFckKrohPd-jhunvY-dbtgHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x316/4/3/4f6e9243236e7ce78c14ead39571dd9a02e1550333b617d2c4f1cc2d816a7d/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.dEM72jKUeneKpnqtBmC6TwHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0463584,-114.0635674
 National on 10th,"341 10 Ave SW, Calgary, AB T2R 0A5",(403) 474-2739,https://www.opentable.ca/r/national-on-10th-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.9,0.5,"Great Spot, wanted the patio but wasnt opened yet. Great Happy Hour but wish there was food options as well","Beer,Garden,Downtown","['https://s1.qwant.com/thumbr/474x316/3/5/39731fc4c6925617f79bd7bd30a3150431d4f557db038f08f010ad8c68c509/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.rGPB778YD_Lxy9HqmQN1dQHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x632/8/e/c5d964c154366f51e912ddc28db1189dafcb97ab30f9e011f77deb7437d782/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.QBEVS6-yEDADLmGiBcBsrAHaJ4%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/468x557/b/c/023c41c63b47703889eaba08663dbf16d696661f02b3e93533c11cba237d3e/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.VeAsn4amE5oqPGzRSqx_xgAAAA%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0434111,-114.0701399
 The Bank and Baron Pub,"125 8 Ave SW, Calgary, AB T2P 1B4",(587) 293-9688,https://www.opentable.ca/the-bank-and-baron-pub?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.9,0.5,"We were charged for extra alcohol but didnât notice till after we paid. The food was very bland and plain. I added chicken to my Caesar salad and was astonishing that it was half the price of the salad additionally. The dressing was bland. The beef dips were really bland as well. My drink was 50% water and the waiter never filled my drink up again so I had nothing till we were all done

I have been here a few times. Not sure why this experience was so terrible","Canadian,Downtown","['https://s2.qwant.com/thumbr/474x474/5/f/9139737a08d1d8e58d4ab05d823a1c34df85b4fdc880aac8f818aa14db6221/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.V0A_o8rYE6F_fg7Jaj6yNgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/f/9/acce839a63e08eb422d2ea2d5c87807aec38e404355178cf87c5590028a34e/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.JWHC-vVqGUjOxNfpwn652wHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/5/d/a5417feb8af8820a4359cc580bd0b2f8858b1480a2edc6c8d51cacdb756c24/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.FDrf02zeVL0dE0ykve5o7AHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']",51.0454912,-114.0645955
 Thomsons Kitchen & Bar,"112 8 Ave SE, Calgary, AB T2G 5P6",(403) 537-4449,https://www.opentable.ca/r/thomsons-kitchen-and-bar-calgary?corrid=26186fa6-0a4f-4934-b0ab-72f332d001dd&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4,0.5,"Great food with lots of options. Was short staffed during Stampede that day, as it is otherwise  5 stars all around.","Canadian,Downtown","['https://s2.qwant.com/thumbr/474x316/6/d/fe62c3a57157e3f914a9a764ee54e31ceb7543f02516bba582c22f83eaa4fe/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.wU0XKyQS41-O7qCdLTQHWgHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x248/b/1/1abcde065bff77cd8c804ba9413374b65679e083591a200576451a16323bbd/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.F5gV-meNMS4uRKexS2vG2AHaD4%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x315/7/3/0f44c5949d46f538b13e55e45ad37f48823a270dfc8d91361802594e7707b6/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.SaPQaEuu0UzyootxG-BpJAHaE7%26pid%3DApi&q=0&b=1&p=0&a=0']",51.04572895,-114.0623451
